filename,last_timestamp,min_obs,max_obs
STADIUMBATUKAWANWL,2019-11-12 10:15:00,,
STN136WL,2019-10-30 09:15:00,0.0,0.0
STN141WL,2019-10-30 09:15:00,4.2,5.26
STN142WL,2019-10-30 09:15:00,,
STN35WL,2019-10-30 09:00:00,21.19,21.19
STN38WL,2018-04-30 08:00:00,81.52,81.7
STN42WL,2019-01-29 15:00:00,48.3,48.41
STN639WL,2019-10-30 09:30:00,,
STN642WL,2019-10-30 09:30:00,,
STN644WL,2019-10-30 09:30:00,3.17,6.11
STN650WL,2019-10-30 09:30:00,-0.44,2.74
STN695WL,2019-05-11 14:30:00,,
STN700WL,2019-01-16 22:45:00,,
STN95WL,2019-10-30 08:15:00,,
SUNGAIARAPGWL,2020-04-03 19:30:00,0.0,0.71
SUNGAIARAWL,2019-11-12 10:15:00,,
SUNGAIDURIKERIANWL,2020-04-01 17:15:00,,
SUNGAIPENGKALANMACANGWL,2020-04-03 19:30:00,-1.01,-0.29
SgChepirWL,2019-11-05 23:45:00,,
SgSariWL,2018-10-16 15:45:00,25.44,27.09
SgSokWL,2019-11-06 09:45:00,46.71,46.72
SingkirGentingWL,2018-04-19 15:45:00,4.2,4.25
TALIAIRBSRSGPINANGWL,2019-11-12 10:15:00,,
TLKBAHANGWL,2019-01-07 19:30:00,,
TanjungPariWL,2018-10-16 15:45:00,122.09,123.6
