filename,last_timestamp,min_obs,max_obs
RHABUAWL,2022-08-29 23:45:00,,
RHALONGWL,2022-08-30 08:45:00,2.75,4.38
RenanKemidingWL,2022-08-30 08:45:00,4.36,5.39
SAMBOPBWL,2022-08-29 23:45:00,,
SARIKEIWL,2022-08-30 08:45:00,-1.73,1.8
SATOKBWL,2022-08-30 08:45:00,-0.3,0.67
SEBAUHWL,2022-08-30 08:45:00,-0.38,0.77
SEJINGKATWL,2022-08-30 08:45:00,-1.62,2.49
SELANGAUBWL,2022-08-30 08:45:00,10.28,11.08
SERIANWL,2022-08-30 08:45:00,2.1,4.28
SGBIDUTWL,2022-08-30 08:45:00,0.65,2.74
SGMERAHWL,2022-08-30 08:45:00,0.27,2.2
SGOPARWL,2022-08-29 23:45:00,,
SGPEDIDWL,2022-08-30 08:45:00,14.11,15.1
SGTEKUWL,2022-08-30 08:45:00,0.87,1.64
SGTENGAHWL,2021-04-17 23:45:00,,
SIBULAUTWL,2022-08-30 08:45:00,1.22,1.34
SINIAWANWL,2022-08-30 08:45:00,-0.15,1.09
SONGWL,2022-08-30 08:45:00,7.35,8.09
SRKMARITIMEWL,2022-08-30 08:45:00,0.73,2.04
STABAUWL,2022-08-30 08:45:00,2.02,2.71
STAPANGBWL,2022-08-30 08:45:00,7.82,10.08
STN246WL,2016-11-28 13:45:00,,
STN248WL,2019-10-30 09:14:00,1.3,2.31
STN252WL,2019-10-30 09:16:00,10.8,13.91
STN255WL,2019-10-30 09:18:00,0.04,2.36
STN262WL,2019-10-30 09:18:00,,
STN263WL,2019-10-30 09:19:00,,
STN266WL,2019-10-30 08:14:00,4.55,5.09
STN268WL,2019-10-30 09:02:00,,
STN271WL,2019-10-30 08:48:00,,
STN274WL,2019-10-30 08:47:00,-0.64,1.31
STN276WL,2019-10-30 08:46:00,,
STN296WL,2019-04-30 10:14:00,,
STN298WL,2019-10-30 08:30:00,,
STN300WL,2019-10-30 08:48:00,,
STN302WL,2019-10-30 08:51:00,-2.15,2.99
STN308WL,2019-10-30 09:01:00,,
STN311WL,2019-10-30 09:01:00,,
STN312WL,2019-10-21 16:46:00,,
STN315WL,2019-10-30 08:58:00,,
STN319WL,2019-10-30 08:52:00,,
STN434WL,2019-10-30 08:45:00,3.04,4.01
STN435WL,2019-10-30 08:44:00,13.57,14.42
STN436WL,2019-10-30 08:44:00,11.54,12.1
STN438WL,2019-10-30 08:47:00,4.82,7.75
STN439WL,2016-08-29 12:00:00,,
STN440WL,2016-08-29 12:00:00,,
STN441WL,2019-10-30 08:44:00,30.52,30.9
STN442WL,2019-10-30 08:47:00,-1.32,1.18
STN443WL,2019-10-30 08:58:00,-0.84,1.2
STN444WL,2019-10-30 08:44:00,-1.03,1.28
SabalKruinWL,2022-08-30 08:45:00,1.64,3.71
SundarWL,2022-08-30 08:45:00,1.47,2.56
SungaiArauWL,2017-01-23 23:45:00,,
SungaiBawanWL,2022-08-30 08:45:00,1.04,2.2
SungaiSibiuWL,2022-08-30 08:45:00,0.96,2.34
SungaiSibutiWL,2020-10-27 23:45:00,,
SungaiSimilajauWL,2022-08-30 08:45:00,4.74,5.63
TATAUTOWNWL,2022-08-29 23:45:00,0.41,0.62
TELUKBUINGWL,2022-08-30 08:45:00,4.3,5.09
TaminWL,2022-08-29 23:45:00,,
TubauWL,2022-08-30 08:45:00,2.66,4.84
UluSungaiMerahWL,2021-04-17 23:45:00,,
